segment,channel,region,offer_type,age,days_since_last_activity,prior_30d_sessions,prior_30d_purchases,prior_30d_open_rate,discount_pct,offer_valid_days,local_hour,accepted
active,push,EU,loyalty_points,25.217945038168402,12.076669048729059,13,3,0.40672605324508065,16.045282380811962,7,10,0
vip,email,NA,loyalty_points,52.752735733870445,0.7789560359751999,6,0,0.3021447367656009,20.357171486544395,10,23,0
churn_risk,email,NA,percent_off,42.58597831670669,0.24128803883963082,9,1,0.20658496792876277,6.714107158982285,10,12,0
active,push,LATAM,percent_off,18.0,35.55555950881553,7,4,0.19253957244915268,15.776942390003589,1,22,0
new,email,LATAM,free_shipping,24.366052547558507,15.714874026812613,3,0,0.39632259401211994,25.587321758060064,5,14,0
new,in_app,NA,bogo,43.43193932268404,1.994182807268908,7,1,0.14271016179032509,1.1761862511987076,3,5,0
new,email,EU,free_shipping,44.65555528184959,7.068180788971613,7,1,0.13292921332988342,22.820533717931564,1,12,0
churn_risk,in_app,NA,loyalty_points,18.764090347818694,2.581468712529939,4,0,,9.34620000548623,1,8,0
active,email,NA,percent_off,41.68465333560434,0.12406394031830312,9,0,0.4597330001510296,24.318911850340893,10,16,1
churn_risk,sms,NA,percent_off,36.915320277463245,5.964909645457591,3,1,0.5099867785036086,7.746637751584721,5,0,0
new,sms,NA,bogo,18.0,12.542612426301606,5,3,0.29824096104704595,4.516334034918717,7,12,0
vip,email,APAC,free_shipping,29.564825097673598,36.98301947421464,3,0,0.2160187161275508,22.84180344148564,5,10,0
churn_risk,in_app,NA,percent_off,32.50220352014447,17.627491379351735,10,1,0.3200481220880074,17.972453147508087,14,14,0
new,in_app,EU,free_shipping,34.53340985904083,3.1385310868011707,3,0,0.8239224631816385,36.64983184941484,5,15,0
new,email,APAC,loyalty_points,19.473589339479748,4.917507456614063,9,5,,22.02006528023788,10,12,0
new,push,NA,percent_off,25.606829453968224,8.822151686264196,5,0,0.24513431137851305,19.00938953456897,5,20,0
active,email,NA,loyalty_points,27.147618874867444,2.5475252102886907,8,1,0.3857827427185162,17.379280778909184,7,8,0
active,in_app,APAC,free_shipping,28.107567116742743,21.473245330716146,5,2,0.17648156879480348,30.419384525450916,7,2,0
active,email,NA,loyalty_points,28.29102808021902,2.206568003864578,7,0,0.03360923931230406,29.237987143559394,3,12,0
active,email,NA,percent_off,32.54103797994068,4.109428137691195,6,2,0.40934418854250393,15.243721160284329,10,10,0
active,email,NA,percent_off,37.40600276621459,10.341649477525547,10,5,0.07306656053340793,26.846960348461128,10,14,0
new,push,NA,percent_off,53.51648296966037,1.5780452557804927,4,0,0.3591220730324119,0.0,10,3,0
active,in_app,APAC,percent_off,43.57977628901223,11.757635483528665,6,3,0.32032016624642806,15.087052626911348,2,4,0
active,sms,EU,percent_off,48.485497284607284,34.6371979641476,6,1,0.6696018820752664,38.272683649753844,7,2,0
active,email,NA,loyalty_points,28.71168746473949,14.113796591216508,4,0,0.38859853218901913,10.747270832227287,3,20,0
churn_risk,email,NA,percent_off,22.95684534732777,20.10594490708624,8,3,0.4116713667180926,22.465906371492245,14,8,0
new,push,LATAM,loyalty_points,42.81567803102065,6.925602197125217,6,1,0.48368790517537485,6.24280400719851,3,6,0
active,push,NA,bogo,33.82167966126764,5.455560130718236,3,4,,5.851087812836255,5,9,0
active,email,NA,percent_off,42.033495801424905,4.780730424032041,3,1,0.16885597292608356,0.8292090326324448,10,16,0
new,email,LATAM,bogo,24.29469752956454,12.962145126204135,5,2,0.3074990725955572,8.078264980499796,7,16,1
active,email,LATAM,loyalty_points,41.134348086444064,8.771077809478403,3,2,0.07249292639178875,15.683620865086983,7,19,1
new,email,NA,bogo,32.07225564949119,7.671169649324901,5,1,0.3907022189127515,8.860051186768459,2,1,0
new,push,NA,percent_off,28.930089170849037,1.2742782109947168,7,0,0.44894338062368716,5.567366471165762,10,5,0
vip,email,NA,loyalty_points,29.965686577849873,13.427242843151,9,4,0.46121630636945526,3.8054240524730094,5,14,0
vip,in_app,NA,percent_off,39.394767589726655,15.50853099738055,7,1,0.15573675929585,19.252249402965056,14,14,0
churn_risk,email,EU,free_shipping,42.515554479788285,2.6208320440091777,7,1,0.21271395203980253,20.110880079753347,2,23,0
active,email,NA,bogo,29.969444265070567,17.110673944682517,4,3,0.006621285987903821,10.632586595772509,5,0,0
new,in_app,NA,percent_off,37.78740811265662,25.38271895380234,6,1,0.49579834443984216,18.116895073028896,5,0,0
active,push,NA,percent_off,37.74898033766496,2.302991494286564,6,1,0.12569012825921677,11.35322470145144,2,18,0
active,email,LATAM,loyalty_points,42.12170546034789,7.218672665307777,5,1,0.44053095603464426,6.590127458302732,5,18,0
new,push,NA,loyalty_points,44.856067126114695,25.0676188527076,6,0,0.046159647389542306,30.2087024656086,5,9,0
active,email,NA,bogo,53.92343525999984,8.0167269687776,3,2,0.16046958334993897,19.987940969554703,3,15,0
new,in_app,LATAM,percent_off,28.883125748246865,20.265261324594107,11,2,0.4468984878338354,14.938547358694288,2,14,0
vip,email,NA,percent_off,50.06010889626204,2.9163735523899303,5,0,0.41664594313867803,17.18036218961239,14,8,0
active,push,NA,percent_off,35.28781812567474,0.7927961405424999,4,2,0.1994537113342923,20.230902796636943,1,3,1
active,email,NA,bogo,21.957186740471315,0.7357005862564983,9,1,0.4181054795756099,9.939311920464256,5,13,0
active,email,NA,percent_off,26.844670653480005,43.060322399577245,4,3,,13.952079412169944,3,16,0
active,sms,NA,percent_off,,2.1598279511900693,5,1,0.12100010278520223,27.424615238678047,3,20,0
active,in_app,NA,bogo,41.96136783118021,24.020098058214533,7,1,0.16685319348546876,22.90234178498035,7,21,0
new,email,NA,free_shipping,22.821053575993872,4.552807815277292,6,2,0.4674883474349913,19.374362339999294,5,11,0
vip,email,,loyalty_points,25.597273177199476,0.4909708727138452,10,2,0.13613926448523686,13.813929643986079,5,6,0
churn_risk,email,NA,bogo,28.13571677455196,3.3086828625788636,3,0,0.3900852772211174,22.603520413772344,5,2,0
vip,push,NA,free_shipping,24.502951759121302,8.450315617089096,7,2,0.4071685729650625,34.64321748571339,10,16,0
churn_risk,push,NA,percent_off,18.0,1.3549586192027778,5,1,0.6145146685047989,8.52724937723858,5,14,1
active,push,NA,bogo,18.0,30.63771495044595,3,0,0.22420487765640576,10.983565374375985,5,0,0
vip,email,LATAM,free_shipping,29.80012172951791,27.61723404902424,2,1,0.233517518455607,18.67867486994843,3,12,0
new,in_app,NA,free_shipping,36.77287218589003,1.938197527841679,5,2,0.22784616566730978,21.58545429909904,5,9,0
new,email,NA,percent_off,41.21144167434516,16.03216072289184,3,1,,22.720888588467766,3,9,0
new,email,EU,bogo,19.014325186281113,7.409984359996392,5,1,0.07785236379591419,8.509494797636615,5,15,1
active,push,NA,loyalty_points,19.201269708680318,48.29364292626238,6,1,0.264009833857269,,2,19,0
active,sms,EU,free_shipping,28.19278536585208,0.6839791709561474,5,1,0.10418403158506033,33.17767019895127,1,19,0
active,push,EU,free_shipping,34.03676698177429,7.641986938168904,7,1,0.04710878837925309,0.0,14,19,0
churn_risk,push,EU,free_shipping,45.09659760436478,4.033614981006991,9,1,0.23350284648315853,25.20376864463212,3,7,0
active,push,EU,percent_off,41.894942761092416,15.552108945862969,6,1,0.07676172535993887,11.100958017016612,5,21,0
active,in_app,NA,bogo,29.953890117382308,1.4137089019259323,4,3,0.4689691874066805,3.7042978687726453,3,23,0
active,email,EU,loyalty_points,37.961708350795405,11.869843627119073,5,1,0.07759615900978928,19.307393573361527,10,22,0
new,email,NA,percent_off,24.721068369568123,35.49184241478248,13,2,0.27809932354405553,28.7691922869013,5,8,0
churn_risk,sms,NA,percent_off,34.81780331214806,7.259007929511224,6,0,0.21238744600593626,28.566748535278304,5,15,0
new,in_app,LATAM,free_shipping,33.31334377663102,7.266706091316703,3,2,0.22591953156521427,0.789165383249312,10,2,0
vip,email,NA,percent_off,49.44732518810787,8.215062387119163,8,2,0.12416206594671762,10.349737070419053,7,12,0
churn_risk,email,LATAM,bogo,39.42910592208003,6.448257535980762,7,2,0.2600618164670803,7.712491049939766,5,23,0
new,email,NA,percent_off,25.52136449397027,7.119099509068538,8,1,,21.65997280253699,7,18,0
new,email,NA,bogo,25.6338969160605,7.4664210060185585,5,1,0.08701488500182658,15.376514967982295,7,3,0
churn_risk,sms,NA,free_shipping,,74.97749910972495,8,2,0.44463064653618806,25.59096994033022,3,7,0
churn_risk,email,EU,percent_off,18.0,1.4854988551132313,5,4,0.28733555616289463,24.28419665593753,10,10,0
churn_risk,in_app,,percent_off,31.469775840385314,4.031068387265768,7,2,0.22584785550746742,15.066955144127489,14,11,0
churn_risk,email,NA,percent_off,32.41974869386801,2.840633422587012,5,2,0.5794322160108517,15.97975515207866,10,4,1
new,email,NA,percent_off,39.13179566863009,9.428098033880874,10,1,0.3380909220768084,17.584118908973863,7,1,0
active,email,EU,bogo,40.73337887363736,0.033754654156715254,6,1,0.7546773703048851,23.299575684679276,5,5,0
new,push,NA,percent_off,35.08808050326843,30.47468143629936,7,2,0.5360085396688581,11.862104513394932,3,21,0
churn_risk,push,APAC,free_shipping,18.0,9.088923930698162,3,1,0.2645513303681175,20.985034973536617,5,4,0
active,push,NA,free_shipping,20.5684881573749,27.169283989288292,3,1,0.3801752729496357,7.442433742747324,14,8,0
active,email,NA,percent_off,27.343845840406388,5.076803248164488,4,2,0.444659018859106,27.239149282950727,3,19,1
new,email,NA,percent_off,41.17520593498378,1.949237860443207,7,0,0.5456964771228353,28.45482642381927,7,6,0
active,email,LATAM,percent_off,40.80376368182124,2.562664269941081,9,1,0.28238062765016425,21.82064620380796,7,3,0
active,email,NA,bogo,31.256178995957555,7.635133063492882,6,0,,9.743246518146774,3,6,0
churn_risk,push,NA,percent_off,59.9570345074356,0.49322570508798413,5,1,0.21260827677478197,21.378722992307306,3,8,0
active,push,APAC,percent_off,51.17724343572259,18.268344363167493,7,0,0.04068439676573979,,5,3,0
churn_risk,push,NA,percent_off,47.63911337637095,18.764204513306154,8,1,0.16195040733621002,12.886683796785809,14,5,0
active,email,EU,loyalty_points,41.707239700518954,14.526130713194398,6,0,0.4830120779927557,10.057242008282527,7,19,0
new,email,NA,free_shipping,39.043959292258855,27.19964624728441,10,0,0.4140318167550469,18.763217042215388,3,20,0
churn_risk,email,NA,loyalty_points,38.24133639722181,9.568160709071472,5,2,0.09302323448622705,32.3136263392248,1,1,0
churn_risk,email,NA,percent_off,18.0,7.8314235442966496,3,3,0.06391726748342687,22.500056351768183,14,11,0
active,in_app,NA,percent_off,22.43587207525821,9.039245084854386,3,3,0.26376479381789286,17.437998288065476,5,14,0
churn_risk,push,APAC,percent_off,31.55649534576542,2.4100356848855933,5,1,0.3790276248915151,46.68325892901993,14,12,0
active,email,APAC,loyalty_points,35.406597449519985,8.61644278202154,6,2,0.2278272284083715,23.67833704546309,14,2,0
